words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
good,+,0,0,1,0
commonsense,+,0,0,1,1
commonsensible,+,0,0,1,1
commonsensical,+,0,0,1,1
firm,+,0,0,1,1
hard,+,0,0,1,1
informed,+,0,0,1,1
just,+,0,0,1,1
justified,+,0,0,1,1
levelheaded,+,0,0,1,1
logical,+,0,0,1,1
rational,+,0,0,2,1
reasonable,+,0,0,2,1
reasoned,+,0,0,1,1
sensible,+,0,0,2,1
sober,+,0,0,1,1
solid,+,0,0,1,1
valid,+,0,0,5,1
well-founded,+,0,0,3,1
groundless,-,1,0,0,1
illogical,-,3,0,0,1
invalid,-,3,0,0,1
irrational,-,3,0,0,1
nonrational,-,1,0,0,1
nonsensical,-,1,0,0,1
nonvalid,-,1,0,0,1
unfounded,-,1,0,0,1
uninformed,-,1,0,0,1
unjustified,-,1,0,0,1
unreasonable,-,3,0,0,1
unreasoned,-,1,0,0,1
unsound,-,3,0,0,1
bad,-,2,0,0,0
bastard,-,1,0,0,1
bush,-,1,0,0,1
bush-league,-,1,0,0,1
crummy,-,1,0,0,1
crumby,-,1,0,0,1
dissatisfactory,-,1,0,0,1
ill,-,1,0,0,1
inferior,-,1,0,0,1
lame,-,1,0,0,1
lousy,-,1,0,0,1
poor,-,1,0,0,1
suboptimal,-,1,0,0,1
subpar,-,1,0,0,1
substandard,-,1,0,0,1
unacceptable,-,2,0,0,1
unsatisfactory,-,2,0,0,1
wack,-,1,0,0,1
wanting,-,2,0,0,1
wretched,-,1,0,0,1
wrong,-,1,0,0,1
acceptable,+,0,0,2,1
adequate,+,0,0,2,1
all_right,+,0,0,2,1
decent,+,0,0,2,1
fine,+,0,0,2,1
passable,+,0,0,2,1
respectable,+,0,0,2,1
satisfactory,+,0,0,2,1
standard,+,0,0,1,1
tolerable,+,0,0,2,1
common,0,0,1,0,0
commonplace,0,0,1,0,1
everyday,0,0,1,0,1
familiar,0,0,1,0,1
frequent,0,0,1,0,1
garden-variety,0,0,1,0,1
household,0,0,1,0,1
ordinary,0,0,1,0,1
quotidian,0,0,8,0,1
routine,0,0,2,0,1
ubiquitous,0,0,2,0,1
usual,0,0,2,0,1
extraordinary,0,0,1,0,1
infrequent,0,0,1,0,1
uncommon,0,0,1,0,1
unusual,0,0,1,0,1
coherent,+,0,0,2,2
consequent,+,0,0,2,2
sound,+,0,0,2,2
well-grounded,+,0,0,2,2
illegitimate,-,2,0,0,2
incoherent,-,2,0,0,2
inconsequent,-,2,0,0,2
inconsequential,-,2,0,0,2
weak,-,2,0,0,2
fairish,+,0,0,1,2
serviceable,+,0,0,1,2
deficient,-,1,0,0,2
inadequate,-,1,0,0,2
insufficient,-,1,0,0,2
lacking,-,1,0,0,2
